Year,Rank,Male,N(Males),Female,N(Female)
2015,1,William,552,Emma,466
2015,2,Noah,520,Olivia,461
2015,3,Liam,512,Ava,458
2015,4,James,499,Charlotte,404
2015,5,Mason,450,Sophia,396
2015,6,Jackson,424,Abigail,367
2015,7,Jacob,410,Isabella,326
2015,8,Elijah,388,Elizabeth,305
2015,9,Michael,388,Madison,305
2015,10,Benjamin,385,Harper,300
2015,11,Alexander,372,Mia,286
2015,12,Ethan,368,Emily,276
2015,13,Aiden,360,Avery,254
2015,14,Lucas,341,Evelyn,239
2015,15,Daniel,336,Amelia,237
2015,16,Logan,334,Grace,224
2015,17,Matthew,331,Sofia,224
2015,18,John,328,Caroline,213
2015,19,Luke,321,Lillian,202
2015,20,Samuel,321,Savannah,201
2015,21,Henry,315,Aubrey,198
2015,22,Christopher,314,Ella,195
2015,23,Gabriel,312,Addison,193
2015,24,Andrew,303,Chloe,193
2015,25,David,301,Natalie,191
2015,26,Landon,299,Skylar,191
2015,27,Joseph,298,Layla,190
2015,28,Dylan,284,Hannah,188
2015,29,Joshua,282,Zoe,179
2015,30,Caleb,276,Scarlett,175
2015,31,Anthony,272,Victoria,170
2015,32,Grayson,269,Zoey,166
2015,33,Oliver,267,Allison,164
2015,34,Carter,265,Genesis,164
2015,35,Levi,255,Riley,161
2015,36,Wyatt,252,Aria,159
2015,37,Christian,251,Eleanor,158
2015,38,Thomas,248,Lily,157
2015,39,Jayden,245,Audrey,156
2015,40,Owen,244,Claire,154
2015,41,Ryan,236,Penelope,152
2015,42,Charles,233,Anna,151
2015,43,Cameron,230,Kennedy,147
2015,44,Colton,228,Mackenzie,146
2015,45,Isaac,227,Nora,146
2015,46,Connor,224,Katherine,143
2015,47,Hunter,224,Autumn,139
2015,48,Josiah,221,Leah,137
2015,49,Jack,214,Madelyn,135
2015,50,Isaiah,207,Samantha,135
2015,51,Jeremiah,204,Sadie,134
2015,52,Nathan,197,Brooklyn,130
2015,53,Robert,196,Reagan,129
2015,54,Jaxon,192,Maya,127
2015,55,Chase,190,Ariana,125
2015,56,Eli,186,Sarah,125
2015,57,Jonathan,185,Ashley,123
2015,58,Brayden,182,Cora,121
2015,59,Nicholas,172,Naomi,120
2015,60,Sebastian,170,Violet,120
2015,61,Adam,166,Alexa,118
2015,62,Zachary,162,Gabriella,118
2015,63,Austin,159,Kaylee,118
2015,64,Jordan,156,Brianna,115
2015,65,Nolan,155,Taylor,115
2015,66,Asher,150,London,114
2015,67,Julian,150,Lucy,111
2015,68,Parker,149,Paisley,110
2015,69,Gavin,147,Serenity,110
2015,70,Camden,145,Piper,109
2015,71,Jason,145,Arianna,108
2015,72,Tristan,140,Kylie,108
2015,73,Ayden,139,Alexandra,107
2015,74,Cooper,136,Mila,107
2015,75,Evan,136,Sydney,107
2015,76,Bryce,135,Aaliyah,106
2015,77,Ian,135,Lydia,105
2015,78,Declan,134,Stella,105
2015,79,Tyler,133,Annabelle,104
2015,80,Aaron,131,Madeline,104
2015,81,Dominic,127,Alyssa,103
2015,82,Adrian,125,Peyton,98
2015,83,Hudson,125,Mary,97
2015,84,Easton,124,Hailey,96
2015,85,Jaxson,124,Faith,95
2015,86,Brandon,122,Clara,94
2015,87,Kayden,122,Julia,94
2015,88,Theodore,121,Ellie,93
2015,89,Lincoln,120,Eva,92
2015,90,Nathaniel,115,Isabelle,91
2015,91,Jace,114,Josephine,91
2015,92,Kevin,114,Kinsley,91
2015,93,Micah,113,Aurora,90
